"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","PRECIO"
"7798085681469","Jugo De Naranja 750 Ml Citric","CITRIC","Jugo De Naranja 750 Ml Citric","214","3850.0"
"7791250003189","Vodka Red Berrie 473 Ml Smirnoff Ice","SMIRNOFF","Vodka Red Berrie 473 Ml Smirnoff Ice","37","3650.0"
"7793147573546","Cerveza Amstel Lager 473 Cc","AMSTEL","Cerveza Amstel Lager 473 Cc","38","2550.0"
"7790895003325","Agua Saborizada Naranja 2.25 Lts Aquarius","AQUARIUS","Agua Saborizada Naranja 2.25 Lts Aquarius","204","3300.0"
"7790580141516","Jugo En Polvo Arcor Anana X 15 Gr","ARCOR","Jugo En Polvo Arcor Anana X 15 Gr","211","400.0"
"7790895647123","Jugo Cepita Del Valle Multifruta 1 Lt","CEPITA","Jugo Cepita Del Valle Multifruta 1 Lt","212","2600.0"
"7799155000296","Agua Saborizada Villa Del Sur Levite Manzana Sin Gas 1.5 L","Levite","Agua Saborizada Villa Del Sur Levite Manzana Sin Gas 1.5 L","204","2750.0"
"7790895648267","Jugo Naranja Tentación 1 Lts Cepita Del Valle","CEPITA","Jugo Naranja Tentación 1 Lts Cepita Del Valle","212","2600.0"
"7799155000852","Agua Saborizada Villa Del Sur Levite Pomelo Sin Gas 1.5 L","Levite","Agua Saborizada Villa Del Sur Levite Pomelo Sin Gas 1.5 L","204","2750.0"
"7793147574109","Cerveza Golden 330cc Imperial","IMPERIAL","Cerveza Golden 330cc Imperial","38","3200.0"
"7790895010095","Gaseosa Schweppes Pomelo Zero 2.25lt","SCHWEPPES","Gaseosa Schweppes Pomelo Zero 2.25lt","208","5600.0"
"7792798001323","Cerveza Quilmes Stout 473cc Sixpack","QUILMES","Cerveza Quilmes Stout 473cc Sixpack","38","14250.0"
"7792798010882","Cerveza Vera Ipa 730 Ml Patagonia","PATAGONIA","Cerveza Vera Ipa 730 Ml Patagonia","38","6400.0"
"7794450088581","Vino Tinto Saint Felicien Malbec 750 Cc","SAINT FELICIEN","Vino Tinto Saint Felicien Malbec 750 Cc","216","16700.0"
"7790580129385","Jugo Multifruta 7 Gr Bc","BC","Jugo Multifruta 7 Gr Bc","211","400.0"
"7792799000905","Agua Nestle Pureza Vital 1.5lt","NESTLE","Agua Nestle Pureza Vital 1.5lt","202","2250.0"
"7791813444411","Gaseosa 7up Vintage 1.5lt","7 UP","Gaseosa 7up Vintage 1.5lt","206","3950.0"
"7791813423911","Saborizada H2oh Limoneto Con Gas 2.25lt","H2O","Saborizada H2oh Limoneto Con Gas 2.25lt","204","2950.0"
"7790070760722","Vino Emilia Malbec 750cc","EMILIA","Vino Emilia Malbec 750cc","216","7900.0"
"7790895649370","Agua De Mesa Benedictino Sin Gas 6 L","BENEDICTINO","Agua De Mesa Benedictino Sin Gas 6 L","203","4850.0"
"7790895643866","Alimento Soja + Jugo De Frutas Tropicales 1 Lts Ades","ADES","Alimento Soja + Jugo De Frutas Tropicales 1 Lts Ades","212","2950.0"
"7798422620021","Bebida Energizante Energy Ultra 473 Ml Monster","MONSTER","Bebida Energizante Energy Ultra 473 Ml Monster","40","3200.0"
"7792798002351","Cerveza Patagonia Amber Lager 730cc","PATAGONIA","Cerveza Patagonia Amber Lager 730cc","38","6400.0"
"7798074864675","Vino Portillo Malbec 750 Ml","PORTILLO","Vino Portillo Malbec 750 Ml","216","6900.0"
"7794450090492","Vino Tinto Catena D.v. Cabernet - Malbec 750 Cc","CATENA ZAPATA","Vino Tinto Catena D.v. Cabernet - Malbec 750 Cc","216","21950.0"
"7790639003468","Gaseosa Cunnington Lima Limon 2.25lt","CUNNINGTON","Gaseosa Cunnington Lima Limon 2.25lt","206","1990.0"
"7790314079726","Vino Dilema Blanco Dulce 750cc","DILEMA","Vino Dilema Blanco Dulce 750cc","215","5300.0"
"7790580143763","Jugo En Polvo Arcor Naranja Mango 15gr","ARCOR","Jugo En Polvo Arcor Naranja Mango 15gr","211","400.0"
"7792798014750","Cerveza 473 Cc Corona","CORONA","Cerveza 473 Cc Corona","38","24600.0"
"7792931000039","Agua Glaciar Sin Gas Botella 2ltx1","GLACIAR","Agua Glaciar Sin Gas Botella 2ltx1","202","3350.0"
"7791843008317","Vino Chablis 1000 Cc Viñas De Balbo","VIÑAS DE BALBO","Vino Chablis 1000 Cc Viñas De Balbo","215","4000.0"
