EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7792798002351","Cerveza Roja Patagonia Amber Lager 730 Ml Botella Descartable","Patagonia","730 Ml","","https://cdn.batitienda.com/baticloud/images/product_picture_ef92d69f36e0471ca29ebe5f60010f6e_637862249651492666_0_m.jpg"
"7792798002368","Cerveza Rubia Patagonia Bohemian Pilsener 730 Ml Botella Descartable","Patagonia","730 Ml","","https://cdn.batitienda.com/baticloud/images/product_picture_4943d187d5ff47f69a13ca619fddf8dd_637862249702342781_0_m.jpg"
"7792798007165","Cerveza Rubia Patagonia Bohemian Pilsener 730 ml Botella Descartable","Patagonia","730 ml","","https://cdn.batitienda.com/baticloud/images/product_picture_dae3b05b0a7b4cedb4a801a542d02487_638255204519706227_0_m.jpg"
"7792798002382","Cerveza Rubia Patagonia Kune 730 cc","Patagonia","730 cc","","https://cdn.batitienda.com/baticloud/images/product_picture_e85fbbfd643f42dface5a7d42068f236_638248129194441697_0_m.jpg"
"7790742625304","Dulce De Leche Clasico La Serenisima 400 Gr","La Serenisima","400 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_3f73ef41911c457d8ec5c093e33a6296_637862447798838214_0_m.jpg"
"7790742625205","Dulce De Leche Colonial La Serenisima 400 Gr","La Serenisima","400 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_220909c69a3a44bc929d995deee21f2a_637862447912838410_0_m.jpg"
"7790742373205","Finlandia Clasico La Serensima 290 Gr","Finlandia","290 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_f2d83c2442c947f38abcd6cb588df8e7_637862411955758374_0_m.jpg"
"7790742324108","Queso La Serenisima Finlandia Reducido en Calorías 290 g","Finlandia","290 g","","https://cdn.batitienda.com/baticloud/images/product_picture_80c4286c701142cd8d0c45cae74dc240_638298500695605481_0_m.png"
"7790742223104","Queso Rallado La Serenisima 130 Gr","La Serenisima","130 Gr","","https://cdn.batitienda.com/baticloud/images/product_picture_c03c2d43016f4532af788015cef1467d_637862433685295117_0_m.jpg"
"7790742373304","Queso Untable Finlandia 290 gr","Finlandia","290 gr","","https://cdn.batitienda.com/baticloud/images/product_picture_3d891f726b09413e9afe241227686cf4_638241041922787527_0_m.jpg"
